Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Quantity,Unit Price,Extended Price,Description
EEE-1CA470WAR,Panasonic Electronic Components,PCE4588CT-ND,47uF/16v,"C1, C2",Cut Tape (CT),2,0.38,$0.76,CAP ALUM 47UF 20% 16V SMD
CC0805ZKY5V6BB106,Yageo,311-1355-1-ND,10uF,"C3, C6",Cut Tape (CT),2,0.28,$0.56,CAP CER 10UF 10V Y5V 0805
CC0805ZRY5V9BB104,Yageo,311-1361-1-ND,0.1uF,"C4, C5",Cut Tape (CT),2,0.13,$0.26,CAP CER 0.1UF 50V Y5V 0805
17-21SYGC/S530-E2/TR8,Everlight Electronics Co Ltd,1080-1500-1-ND,GREEN,"D1, D2",Cut Tape (CT),2,0.3,$0.60,LED YELLOW/GREEN CLEAR 0805 SMD
AOD417,Alpha & Omega Semiconductor Inc.,785-1106-1-ND,AOD417,"Q1,Q2",Cut Tape (CT),2,0.56,$1.12,MOSFET P-CH 30V 25A TO252
RNCF0805DTE10K0,Stackpole Electronics Inc,RNCF0805DTE10K0CT-ND,10K,"R1, R2, R3, R4, R5",Cut Tape (CT),5,0.17,$0.85,RES 10K OHM 0.5% 1/8W 0805
RC0805FR-073K9L,Yageo,311-3.90KCRCT-ND,3.9K,"R6, R7, R8",Cut Tape (CT),3,0.1,$0.30,RES SMD 3.9K OHM 1% 1/8W 0805
RNCP0805FTD1K00,Stackpole Electronics Inc,RNCP0805FTD1K00CT-ND,1K,R9,Cut Tape (CT),1,0.1,$0.10,RES 1K OHM 1% 1/4W 0805
CAT24C32WI-GT3,ON Semiconductor,CAT24C32WI-GT3CT-ND,CAT24C32,U1,Cut Tape (CT),1,0.2,$0.20,IC EEPROM 32K I2C 1MHZ 8SOIC
"TB6612FNG,C,8,EL",Toshiba Semiconductor and Storage,TB6612FNGC8ELCT-ND,TB6612FNG,"U2, U4",Cut Tape (CT),2,2.11,$4.22,IC MOTOR DRIVER 2.7V-5.5V 24SSOP
"PCA9685PW,118",NXP USA Inc.,568-11925-1-ND,PCA9685PW,U3,Cut Tape (CT),1,2.33,$2.33,IC LED DRIVER RGBA 28-TSSOP
30035,SCS,SCP417-ND,ESD Bag,,Bag,1,0.11,$0.11,"BAG 3X5"" ZIP STATIC SHIELD 1=1EA"
SSQ-120-03-T-D,Samtec Inc.,SAM1204-20-ND,Stacking Header,,Bulk,1,3.53,$3.53,CONN RCPT 40POS 0.1 TIN PCB
ED555/2DS,On Shore Technology Inc.,ED1514-ND,Terminal Block 2pos,"J4, J7",Box,2,1.06,$2.12,TERM BLK 2POS SIDE ENT 3.5MM PCB
ED555/5DS,On Shore Technology Inc.,ED1517-ND,Terminal Block 5pos,"J2, J5",Bulk,2,1.72,$3.44,TERM BLK 5POS SIDE ENT 3.5MM PCB
EXB-38V221JV,Panasonic Electronic Components,Y9221CT-ND,Resistor Network,RN1,Cut Tape (CT),1,0.1,$0.10,RES ARRAY 4 RES 220 OHM 1206
RC0805JR-07300RL,Yageo,311-300ARCT-ND,300 ohm resistor,R10,Cut Tape (CT),1,0.1,$0.10,RES SMD 300 OHM 5% 1/8W 0805
